ipAddress,countryCode,abuseConfidenceScore,lastReportedAt
103.147.159.91,ID,100,2025-05-08T05:17:02+00:00
80.94.95.241,RO,100,2025-05-08T05:17:01+00:00
81.234.121.57,SE,100,2025-05-08T05:17:01+00:00
182.73.109.194,IN,100,2025-05-08T05:17:01+00:00
35.208.72.191,US,100,2025-05-08T05:17:01+00:00
198.199.71.30,US,100,2025-05-08T05:17:00+00:00
106.51.105.25,IN,100,2025-05-08T05:17:00+00:00
45.58.159.9,NL,100,2025-05-08T05:17:00+00:00
85.208.84.54,RU,100,2025-05-08T05:17:00+00:00
185.94.111.1,RU,100,2025-05-08T05:17:00+00:00
103.193.176.131,ID,100,2025-05-08T05:17:00+00:00
23.30.11.253,US,100,2025-05-08T05:16:59+00:00
195.178.191.4,SE,100,2025-05-08T05:16:59+00:00
139.162.72.191,JP,100,2025-05-08T05:16:59+00:00
103.55.216.17,ID,100,2025-05-08T05:16:59+00:00
65.20.250.180,IQ,100,2025-05-08T05:16:59+00:00
176.109.80.72,RU,100,2025-05-08T05:16:59+00:00
178.32.44.180,FR,100,2025-05-08T05:16:59+00:00
36.89.28.139,ID,100,2025-05-08T05:16:58+00:00
193.146.101.239,ES,100,2025-05-08T05:16:58+00:00
89.117.147.181,US,100,2025-05-08T05:16:58+00:00
206.168.34.169,US,100,2025-05-08T05:16:58+00:00
116.253.214.44,CN,100,2025-05-08T05:16:58+00:00
196.188.187.205,ET,100,2025-05-08T05:16:58+00:00
185.226.196.18,US,100,2025-05-08T05:16:58+00:00
135.237.121.153,US,100,2025-05-08T05:16:57+00:00
183.109.95.244,KR,100,2025-05-08T05:16:56+00:00
14.103.112.55,CN,100,2025-05-08T05:16:56+00:00
154.83.15.200,HK,100,2025-05-08T05:16:56+00:00
45.80.69.202,RU,100,2025-05-08T05:16:56+00:00
101.36.121.98,HK,100,2025-05-08T05:16:56+00:00
34.66.72.251,US,100,2025-05-08T05:16:56+00:00
185.213.175.140,NL,100,2025-05-08T05:16:56+00:00
101.126.142.185,CN,100,2025-05-08T05:16:56+00:00
103.229.125.237,HK,100,2025-05-08T05:16:55+00:00
14.103.118.208,CN,100,2025-05-08T05:16:55+00:00
176.65.134.155,GB,100,2025-05-08T05:16:55+00:00
65.49.1.137,US,100,2025-05-08T05:16:55+00:00
36.133.170.211,CN,100,2025-05-08T05:16:55+00:00
181.188.176.243,BO,100,2025-05-08T05:16:54+00:00
88.214.50.39,RU,100,2025-05-08T05:16:54+00:00
218.92.0.231,CN,100,2025-05-08T05:16:54+00:00
111.70.51.60,TW,100,2025-05-08T05:16:54+00:00
90.239.30.219,SE,100,2025-05-08T05:16:54+00:00
103.176.78.193,ID,100,2025-05-08T05:16:54+00:00
161.35.148.137,NL,100,2025-05-08T05:16:54+00:00
20.64.104.27,US,100,2025-05-08T05:16:54+00:00
85.198.17.168,IR,100,2025-05-08T05:16:54+00:00
20.65.193.252,US,100,2025-05-08T05:16:54+00:00
91.205.219.185,GE,100,2025-05-08T05:16:54+00:00
218.92.0.183,CN,100,2025-05-08T05:16:54+00:00
194.0.234.19,LT,100,2025-05-08T05:16:53+00:00
118.107.44.111,HK,100,2025-05-08T05:16:53+00:00
182.180.77.216,PK,100,2025-05-08T05:16:53+00:00
5.135.137.195,FR,100,2025-05-08T05:16:53+00:00
218.92.0.136,CN,100,2025-05-08T05:16:53+00:00
51.91.174.242,FR,100,2025-05-08T05:16:53+00:00
196.251.87.45,NL,100,2025-05-08T05:16:52+00:00
175.126.82.20,KR,100,2025-05-08T05:16:52+00:00
102.210.80.6,CI,100,2025-05-08T05:16:52+00:00
167.71.133.68,GB,100,2025-05-08T05:16:52+00:00
88.214.50.40,RU,100,2025-05-08T05:16:52+00:00
179.33.186.151,CO,100,2025-05-08T05:16:51+00:00
45.148.10.240,NL,100,2025-05-08T05:16:51+00:00
203.121.40.210,MY,100,2025-05-08T05:16:51+00:00
177.182.181.8,BR,100,2025-05-08T05:16:50+00:00
2.229.29.110,IT,100,2025-05-08T05:16:50+00:00
193.46.255.184,RO,100,2025-05-08T05:16:50+00:00
43.143.231.208,CN,100,2025-05-08T05:16:50+00:00
195.178.110.6,NL,100,2025-05-08T05:16:50+00:00
20.118.209.70,US,100,2025-05-08T05:16:50+00:00
185.255.90.176,IR,100,2025-05-08T05:16:49+00:00
125.124.215.61,CN,100,2025-05-08T05:16:49+00:00
45.116.76.227,HK,100,2025-05-08T05:16:49+00:00
